"Relative Viscosity(Volume fraction), created by Plot Digitizer, 2.6.11",
"Date: 10/1/24, 3:51:57 PM",
,
,
23,
Volume fraction,Relative Viscosity
0.014,1.038
0.018,1.054
0.024,1.063
0.029,1.084
0.034,1.096
0.041,1.098
0.045,1.137
0.05,1.147
0.058,1.168
0.058,1.169
0.064,1.223
0.077,1.25
0.102,1.31
0.131,1.41
0.17,1.81
0.191,1.96
0.206,2.01
0.226,2.33
0.24,2.37
0.246,2.34
0.258,2.44
0.289,3.16
0.314,3.39
0.327,4.05
0.374,5.17
0.393,6.33
0.442,7.5
0.458,9.4
0.509,14.4
0.511,15.5
0.529,19.5
0.558,63
0.577,96
0.594,197
